Trial,Cumulative Success Count
1,0
2,1
3,1
4,2
5,3
6,4
7,5
8,6
9,7
10,8
11,9
12,10
13,11
14,12
15,13
16,14
17,14
18,15
19,16
20,17
21,18
22,19
23,20
24,21
25,22
26,23
27,24
28,25
29,26
30,27
31,28
32,29
33,30
34,31
35,32
36,33
37,34
38,34
39,35
40,36
41,36
42,36
43,37
44,38
45,39
46,39
47,40
48,41
49,41
50,42
51,43
52,43
53,44
54,45
55,46
56,47
57,47
58,48
59,49
60,50
61,50
62,50
63,51
64,52
65,52
66,53
67,54
68,55
69,56
70,57
71,58
72,59
73,59
74,60
75,61
76,62
77,63
78,64
79,65
80,66
81,67
82,68
83,69
84,70
85,71
86,72
87,73
88,74
89,75
90,76
91,77
92,78
93,78
94,79
95,80
96,81
97,81
98,82
99,83
100,84
101,84
102,85
103,86
104,87
105,88
106,89
107,89
108,90
109,91
110,91
111,92
112,93
113,94
114,95
115,96
116,97
117,98
118,99
119,100
120,101
121,102
122,103
123,104
124,105
125,106
126,107
127,107
128,108
129,109
130,110
131,111
132,112
133,112
134,112
135,113
136,114
137,114
138,115
139,116
140,116
141,117
142,118
143,118
144,119
145,120
146,120
147,121
148,122
149,123
150,123
151,123
152,123
153,124
154,125
155,126
156,126
157,127
158,127
159,128
160,128
161,128
162,128
163,129
164,130
165,131
166,131
167,131
168,132
169,133
170,134
171,135
172,136
173,137
174,137
175,138
176,139
177,139
178,140
179,140
180,141
181,142
182,143
183,144
184,145
185,145
186,146
187,147
188,148
189,149
190,150
191,151
192,152
193,152
194,153
195,154
196,155
197,156
198,157
199,158
200,158
201,159
202,159
203,160
204,161
205,162
206,162
207,163
208,164
209,165
210,166
211,167
212,168
213,169
214,169
215,169
216,170
217,171
218,172
219,173
220,174
221,175
222,176
223,177
224,178
225,179
226,180
227,181
228,182
229,183
230,184
231,185
232,185
233,186
234,187
235,188
236,189
237,190
238,191
239,192
240,193
241,194
242,195
243,196
244,197
245,198
246,199
247,200
248,200
249,201
250,202
251,203
252,204
253,205
254,205
255,206
256,206
257,206
258,207
259,208
260,209
261,210
262,210
263,211
264,211
265,212
266,213
267,213
268,213
269,214
270,215
271,216
272,216
273,216
274,216
275,216
276,217
277,218
278,219
279,220
280,221
281,222
282,223
283,224
284,225
285,226
286,227
287,228
288,228
289,229
290,230
291,230
292,231
293,232
294,232
295,232
296,233
297,234
298,235
299,236
300,237
301,237
302,238
303,239
304,239
305,240
306,241
307,242
308,243
309,244
310,245
311,246
312,247
313,247
314,248
315,249
316,250
317,251
318,252
319,252
320,253
321,254
322,254
323,254
324,255
325,256
326,257
327,258
328,259
329,260
330,260
331,261
332,261
333,262
334,263
335,263
336,264
337,265
338,266
339,267
340,268
341,269
342,270
343,271
344,272
345,273
346,274
347,274
348,275
349,275
350,276
351,277
352,278
353,279
354,279
355,280
356,281
357,282
358,283
359,284
360,284
361,285
362,286
363,287
364,288
365,289
366,290
367,291
368,292
369,293
370,294
371,294
372,294
373,295
374,296
375,297
376,298
377,299
378,300
379,300
380,301
381,302
382,303
383,304
384,305
385,305
386,306
387,307
388,308
389,309
390,310
391,311
392,312
393,313
394,314
395,315
396,316
397,317
398,318
399,319
400,320
401,321
402,321
403,322
404,323
405,323
406,324
407,324
408,324
409,325
410,326
411,327
412,327
413,327
414,328
415,329
416,330
417,330
