Trial,Cumulative Success Count
1,1
2,1
3,2
4,3
5,3
6,3
7,4
8,5
9,6
10,7
11,8
12,8
13,8
14,8
15,9
16,10
17,11
18,12
19,12
20,12
21,12
22,12
23,12
24,13
25,13
26,13
27,14
28,14
29,15
30,16
31,17
32,18
33,18
34,19
35,20
36,21
37,22
38,23
39,24
40,25
41,26
42,27
43,28
44,29
45,29
46,30
47,31
48,31
49,32
50,32
51,33
52,34
53,35
54,35
55,35
56,36
57,36
58,36
59,36
60,37
61,38
62,38
63,38
64,38
65,38
66,38
67,39
68,40
69,41
70,42
71,43
72,43
73,43
74,44
75,44
76,44
77,45
78,46
79,47
80,48
81,49
82,49
83,49
84,50
85,50
86,51
87,52
88,53
89,54
90,54
91,55
92,55
93,56
94,57
95,57
96,57
97,58
98,58
99,59
100,59
101,59
102,60
103,60
104,61
105,61
106,62
107,63
108,64
109,64
110,65
111,65
112,65
113,65
114,66
115,66
116,67
117,67
118,68
119,69
120,70
121,70
122,70
123,70
124,71
125,71
126,72
127,73
128,74
129,75
130,76
131,77
132,77
133,78
134,79
135,80
136,80
137,80
138,80
139,81
140,82
141,83
142,84
143,85
144,86
145,87
146,87
147,87
148,87
149,88
150,89
151,90
152,90
153,91
154,91
155,92
156,93
157,94
158,95
159,95
160,96
161,96
162,97
163,98
164,99
165,99
166,99
167,100
168,100
169,100
170,100
171,100
172,101
173,101
174,101
175,102
176,102
177,102
178,103
179,103
180,103
181,104
182,105
183,106
184,106
185,106
186,107
187,107
188,108
189,109
190,109
191,110
192,110
193,111
194,112
195,112
196,112
197,112
198,113
199,114
200,114
201,115
202,116
203,117
204,117
205,118
206,119
207,120
208,120
209,121
210,122
211,123
212,123
213,124
214,124
215,125
216,125
217,126
218,127
219,127
220,128
221,129
222,130
223,130
224,130
225,130
226,130
227,130
228,131
229,132
230,133
231,134
232,135
233,136
234,137
235,137
236,138
237,138
238,139
239,140
240,140
241,141
242,142
243,142
244,143
245,144
246,145
247,146
248,147
249,147
250,148
251,149
252,150
253,151
254,152
255,153
256,153
257,153
258,154
259,154
260,155
261,156
262,156
263,157
264,157
265,158
266,158
267,159
268,160
269,160
270,161
271,161
272,162
273,162
274,162
275,162
276,162
277,162
278,162
279,162
280,162
281,163
282,164
283,165
284,166
285,167
286,168
287,169
288,170
289,171
290,172
291,173
292,174
293,175
294,175
295,176
296,177
297,177
298,177
299,178
300,178
301,178
302,179
303,180
304,181
305,182
306,182
307,183
308,183
309,184
310,185
311,185
312,186
313,186
314,186
315,187
316,187
317,187
318,188
319,188
320,189
321,189
322,189
323,190
324,190
325,190
326,190
327,191
328,191
329,192
330,192
331,193
332,194
333,195
334,195
335,196
336,197
337,198
338,198
339,199
340,200
341,201
342,202
343,203
344,204
345,205
346,205
347,205
348,206
349,206
350,207
351,208
352,209
353,210
354,211
355,212
356,213
357,213
358,214
359,215
360,215
361,215
362,215
363,215
364,216
365,217
366,217
367,217
368,218
369,219
370,219
371,220
372,220
373,221
374,222
375,222
376,223
377,223
378,223
379,224
380,225
381,226
382,227
383,227
384,228
385,228
386,229
387,230
388,231
389,231
390,232
391,233
392,234
393,235
394,236
395,236
396,237
397,237
398,238
399,239
400,239
401,240
402,241
403,242
404,242
405,242
406,243
407,244
408,245
409,245
410,246
411,247
412,248
413,248
414,249
415,250
416,250
417,250
418,250
419,250
420,251
421,251
422,251
423,251
424,252
425,252
426,253
427,254
428,255
429,255
430,256
431,256
432,257
433,258
434,259
435,259
436,260
437,261
438,261
439,262
440,262
441,262
442,262
443,263
444,263
445,263
446,264
447,265
448,265
449,265
450,266
451,266
452,267
453,268
454,268
455,268
456,269
457,270
458,271
459,272
460,273
461,273
462,274
463,274
464,274
465,275
466,275
467,275
468,276
469,276
470,277
471,277
472,277
473,278
474,278
475,278
476,279
477,280
478,280
479,280
480,281
481,282
482,283
483,284
484,284
485,284
486,285
487,286
488,287
489,287
490,287
491,288
492,289
493,290
494,290
495,291
496,292
497,292
498,292
499,293
500,293
501,294
502,295
503,296
504,297
505,298
506,299
507,299
508,300
509,301
510,302
511,302
512,303
513,303
514,303
515,304
516,305
517,305
518,306
519,307
520,308
521,308
522,309
523,310
524,311
525,311
526,312
527,313
528,314
529,315
530,316
531,317
532,317
533,318
534,318
535,318
536,319
537,319
538,320
539,321
540,322
541,322
542,323
543,324
544,325
545,325
546,326
547,327
548,328
549,329
550,329
551,330
552,331
553,331
554,332
555,333
556,333
557,333
558,334
559,335
560,336
561,337
562,338
563,339
564,340
565,340
566,340
567,341
568,341
569,342
570,342
571,342
572,343
573,344
574,345
575,345
576,346
577,346
578,347
579,347
580,348
581,348
582,349
583,350
584,351
585,352
586,353
587,353
588,353
589,353
590,354
591,354
592,355
593,355
594,356
595,357
596,358
597,358
598,359
599,360
