Trial,Cumulative Success Count
1,0
2,0
3,1
4,2
5,2
6,3
7,4
8,4
9,4
10,4
11,4
12,4
13,5
14,6
15,7
16,7
17,8
18,8
19,9
20,9
21,9
22,9
23,10
24,11
25,11
26,11
27,12
28,13
29,14
30,14
31,14
32,14
33,14
34,15
35,16
36,17
37,17
38,17
39,17
40,18
41,18
42,19
43,19
44,20
45,21
46,21
47,22
48,23
49,24
50,25
51,26
52,27
53,27
54,27
55,28
56,28
57,28
58,29
59,29
60,30
61,30
62,31
63,31
64,32
65,32
66,32
67,32
68,33
69,34
70,34
71,34
72,35
73,36
74,36
75,37
76,38
77,39
78,40
79,41
80,41
81,42
82,42
83,43
84,43
85,44
86,45
87,46
88,47
89,48
90,48
91,49
92,49
93,50
94,51
95,51
96,51
97,52
98,52
99,53
100,54
101,55
102,55
103,56
104,56
105,56
106,57
107,58
108,59
109,60
110,61
111,62
112,63
113,64
114,65
115,66
116,67
117,68
118,69
119,70
120,71
121,71
122,72
123,73
124,74
125,75
126,76
127,77
128,78
129,78
130,78
131,79
132,79
133,80
134,81
135,82
136,82
137,82
138,83
139,83
140,84
141,84
142,84
143,85
144,85
145,86
146,87
147,88
148,88
149,89
150,90
151,91
152,92
153,93
154,93
155,94
156,94
157,95
158,95
159,96
160,97
161,98
162,98
163,98
164,98
165,99
166,99
167,99
168,100
169,101
170,102
171,102
172,103
173,103
174,103
175,103
176,103
177,103
178,104
179,105
180,106
181,107
182,108
183,109
184,110
185,110
186,111
187,112
188,113
189,113
190,114
191,115
192,116
193,116
194,116
195,117
196,117
197,118
198,118
199,119
200,119
201,119
202,120
203,121
204,121
205,122
206,123
207,123
208,124
209,125
210,125
211,125
212,125
213,125
214,126
215,127
216,127
217,127
218,127
219,127
220,127
221,128
222,128
223,128
224,128
225,128
226,128
227,129
228,130
229,130
230,130
231,130
232,130
233,130
234,131
235,132
236,132
237,132
238,132
239,133
240,133
241,134
242,134
243,135
244,135
245,136
246,136
247,137
248,138
249,139
250,140
251,141
252,142
253,142
254,143
255,143
256,144
257,145
258,145
259,145
260,146
261,147
262,148
263,148
264,148
265,149
266,150
267,151
268,151
269,152
270,153
271,154
272,155
273,155
274,155
275,155
276,155
277,155
278,155
