Trial,Cumulative Success Count
1,1
2,1
3,1
4,2
5,2
6,2
7,2
8,3
9,4
10,4
11,4
12,4
13,4
14,5
15,5
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,7
28,8
29,8
30,8
31,8
32,8
33,9
34,9
35,9
36,9
37,10
38,10
39,10
40,11
41,11
42,11
43,11
44,11
45,11
46,11
47,12
48,13
49,14
50,14
51,14
52,14
53,14
54,15
55,16
56,16
57,16
58,17
59,17
60,18
61,18
62,18
63,18
64,19
65,19
66,19
67,19
68,19
69,19
70,19
71,20
72,21
73,22
74,22
75,22
76,22
77,23
78,23
79,23
80,24
81,24
82,24
83,25
84,25
85,26
86,27
87,27
88,27
89,27
90,28
91,28
92,28
93,29
94,29
95,29
96,29
97,30
98,31
99,31
100,31
101,32
102,32
103,32
104,32
105,32
106,33
107,33
108,33
109,33
110,34
111,34
112,35
113,36
114,37
115,37
116,37
117,37
118,37
119,37
120,38
121,38
122,38
123,38
124,38
125,39
126,39
127,39
128,40
129,40
130,40
131,40
132,40
133,40
134,40
135,41
136,42
137,42
138,42
139,42
140,42
141,42
142,42
143,42
144,42
145,43
146,43
147,44
148,45
149,46
150,47
151,47
152,48
153,49
154,49
155,49
156,49
157,49
158,50
159,50
160,50
161,51
162,51
163,52
164,52
165,53
166,54
167,54
168,55
169,55
170,55
171,55
172,56
173,56
174,57
175,57
176,57
177,57
178,57
179,58
180,58
181,58
182,58
183,58
184,58
185,58
186,58
187,59
188,59
189,60
190,60
191,60
192,61
193,61
194,61
195,61
196,61
197,62
198,62
199,63
200,63
201,63
202,63
203,63
204,64
205,65
206,66
207,66
208,67
209,67
210,67
211,67
212,67
213,68
214,68
215,69
216,69
217,70
218,70
219,70
220,70
221,70
222,70
223,70
224,71
225,72
226,72
227,72
228,73
229,74
230,74
231,75
232,75
233,75
234,76
235,76
236,76
237,77
238,78
239,78
240,78
241,78
242,78
243,78
244,79
245,79
246,79
247,79
248,80
249,81
250,81
251,81
252,81
253,82
254,83
255,83
256,83
257,83
258,83
259,83
260,83
261,84
262,85
263,85
264,85
265,85
266,85
267,86
268,87
269,88
270,88
271,88
272,88
273,88
274,88
275,88
276,88
277,89
278,89
279,89
280,90
281,91
282,91
283,92
284,93
285,94
286,95
287,95
288,96
289,96
290,97
291,97
292,98
293,98
294,99
295,99
296,100
297,101
298,102
299,103
300,103
301,104
302,104
303,104
304,104
305,105
306,106
307,107
308,108
309,109
310,109
311,109
312,110
313,110
314,111
315,112
316,112
317,112
318,113
319,113
320,113
321,113
322,114
323,114
324,114
325,115
326,116
327,116
328,116
329,116
330,116
331,116
332,116
333,116
334,116
335,117
336,117
337,117
338,117
339,118
340,118
341,118
342,118
343,118
344,119
345,119
346,120
347,121
348,122
349,123
350,123
351,124
352,125
353,125
354,125
355,125
356,126
357,126
358,127
359,127
360,127
361,127
362,128
363,128
364,128
365,128
366,128
367,128
368,129
369,129
370,130
371,131
372,131
373,131
374,131
375,131
376,131
377,131
378,132
379,132
380,132
381,133
382,133
383,133
384,134
385,135
386,135
387,136
388,137
389,137
390,137
391,138
392,138
393,139
394,140
395,140
396,140
397,140
398,140
399,140
400,140
401,141
402,141
403,142
404,142
405,142
406,143
407,144
408,145
409,146
410,146
411,146
412,146
413,146
414,147
415,147
416,147
417,147
418,147
419,147
420,148
421,148
422,148
423,149
424,149
425,149
426,149
427,149
428,150
429,151
430,151
431,151
432,151
433,152
434,152
435,152
436,152
437,152
438,152
439,153
440,154
441,155
442,155
443,155
444,156
445,157
446,158
447,158
448,159
449,160
450,161
451,161
452,161
453,161
454,161
455,161
456,162
457,162
458,163
459,163
460,163
461,164
462,164
463,164
464,164
465,164
466,164
467,165
468,166
469,167
470,167
471,168
472,168
473,168
474,168
475,168
476,168
477,168
478,168
479,168
480,169
481,169
482,170
483,171
484,171
485,171
486,171
487,172
488,172
489,173
490,173
491,174
492,174
493,174
494,174
495,175
496,175
497,175
498,175
499,175
500,175
501,175
502,175
503,175
504,175
505,175
506,176
507,176
508,176
509,177
510,177
511,177
512,177
513,178
514,178
515,179
516,180
517,180
518,180
519,180
520,180
521,180
522,180
523,181
524,181
525,182
526,183
527,184
528,184
529,185
530,185
531,185
532,185
533,185
534,185
535,185
536,186
537,186
538,186
539,186
540,186
541,186
542,186
543,187
544,187
545,187
546,187
547,187
548,187
549,187
550,187
551,187
552,187
553,187
554,187
555,187
556,188
557,189
558,189
559,189
560,189
561,189
562,189
563,189
564,189
565,190
566,190
567,190
568,190
569,190
570,190
571,190
572,190
573,191
574,191
575,192
576,193
577,194
578,194
579,194
580,194
581,194
582,194
583,195
584,195
585,195
586,195
587,195
588,195
589,195
590,195
591,196
592,196
593,196
594,196
595,196
596,196
597,197
598,197
599,197
