Trial,Cumulative Success Count
1,0
2,1
3,2
4,2
5,3
6,4
7,5
8,5
9,5
10,5
11,6
12,6
13,7
14,7
15,8
16,8
17,9
18,10
19,10
20,11
21,11
22,12
23,13
24,13
25,13
26,14
27,15
28,16
29,16
30,17
31,17
32,17
33,18
34,18
35,18
36,18
37,19
38,19
39,20
40,21
41,21
42,22
43,22
44,23
45,23
46,24
47,24
48,25
49,26
50,26
51,26
52,26
53,26
54,27
55,28
56,28
57,28
58,29
59,29
60,29
61,30
62,31
63,32
64,33
65,33
66,34
67,34
68,35
69,36
70,37
71,37
72,38
73,38
74,38
75,38
76,38
77,39
78,40
79,41
80,41
81,41
82,42
83,43
84,44
85,44
86,44
87,45
88,45
89,46
90,46
91,46
92,47
93,48
94,49
95,50
96,50
97,50
98,51
99,52
100,52
101,52
102,53
103,54
104,54
105,55
106,56
107,57
108,57
109,58
110,59
111,59
112,59
113,60
114,60
115,60
116,61
117,61
118,62
119,63
120,63
121,63
122,64
123,65
124,66
125,67
126,67
127,68
128,69
129,70
130,70
131,70
132,70
133,71
134,71
135,71
136,71
137,72
138,73
139,74
140,75
141,75
142,76
143,77
144,78
145,78
146,79
147,79
148,79
149,80
150,81
151,82
152,83
153,83
154,84
155,85
156,86
157,87
158,87
159,88
160,88
161,89
162,89
163,90
164,91
165,92
166,92
167,93
168,94
169,95
170,96
171,97
172,98
173,99
174,99
175,100
176,100
177,100
178,100
179,101
180,101
181,101
182,102
183,102
184,102
185,102
186,103
187,104
188,105
189,105
190,106
191,107
192,108
193,108
194,109
195,109
196,109
197,109
198,109
199,109
200,109
201,109
202,110
203,111
204,112
205,112
206,113
207,114
208,115
209,116
210,117
211,117
212,117
213,117
214,118
215,118
216,118
217,119
218,119
219,120
220,121
221,121
222,121
223,121
224,121
225,121
226,122
227,122
228,123
229,124
230,124
231,125
232,125
233,126
234,126
235,126
236,127
237,128
238,128
239,128
240,128
241,128
242,128
243,128
244,129
245,130
246,131
247,132
248,133
249,134
250,135
251,135
252,135
253,135
254,136
255,136
256,136
257,136
258,136
259,136
260,136
261,137
262,137
263,137
264,137
265,137
266,138
267,138
268,138
269,139
270,139
271,140
272,141
273,141
274,142
275,142
276,143
277,144
278,145
279,145
280,146
281,147
282,147
283,148
284,148
285,149
286,150
287,151
288,151
289,152
290,153
291,154
292,155
293,156
294,157
295,158
296,159
297,160
298,161
299,162
300,162
301,163
302,163
303,164
304,165
305,166
306,166
307,166
308,166
309,167
310,167
311,167
312,167
313,167
314,167
315,167
316,167
317,167
318,167
319,168
320,169
321,169
322,169
323,170
324,171
325,172
326,173
327,173
328,174
329,175
330,176
331,177
332,177
333,177
334,177
335,177
336,178
337,178
338,178
339,179
340,180
341,180
342,180
343,181
344,182
345,183
346,183
347,184
348,184
349,184
350,184
351,185
352,185
353,185
354,185
355,186
356,187
357,188
358,188
359,188
360,189
361,189
362,189
363,190
364,190
365,191
366,192
367,193
368,194
369,195
370,196
371,196
372,197
373,197
374,197
375,197
376,197
377,197
378,197
379,198
380,199
381,200
382,201
383,202
384,202
385,202
386,202
387,202
388,203
389,203
390,204
391,204
392,205
393,205
394,206
395,206
396,207
397,207
398,208
399,209
400,210
401,211
402,212
403,213
404,213
405,213
406,214
407,215
408,216
409,216
410,216
411,216
412,216
413,216
414,216
415,216
416,217
417,217
